Samp,Directory,File,State,Country,RANGE,Year,TimeBin,PCOASamp,PcoaGroups,PcoaGroupRegion,PcoaYR,SampleN,lat,lon,H_C,N_S,Heterozygosity,K2Q1S1964,K2Q2S1964,K3Q1S1964,K3Q2S1964,K3Q3S1964,K4Q1S1964,K4Q2S1964,K4Q3S1964,K4Q4S1964,MaxK3,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,NREAD,COVERAGE,AC_COVERAGE,AC_COUNT,AC_2_COVERAGE,AC_2_COUNT,LI_COVERAGE,LI_COUNT,Region,stdAC,stdLI,geno_Hb7a1,geno_Hb7a2,geno_Hb7b,geno_Hb9,geno_Hb13,PC1_TE,PC2_TE,PC3_TE,PC4_TE,PC5_TE
TRHS152,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS152_CKDL230018651-1A_225KJTLT3_L3_C1.bam,LA,USA,NAM,1974,1958-1997,1974_TRHS152,1958-1997,1958-1997_South,1974_South,193,29.90472573,-89.30412736,H,S,0.00286437,0.010269316,0.989730684,0.999999998,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999997,1.00E+00,0.036791076,0.072580522,-0.023129681,-0.033587747,0.043000925,-0.008722207,0.010309979,0.001824931,0.014559478,-0.001323698,21888812,0,75.4059,53,59.8316,42,82.9122,126,South,2.42E-06,5.76E-06,0,0,0,0,0,62.72160499,7.226774945,5.302462112,-3.704241126,-2.708117952
TRHS224,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS224_CKDL230018651-1A_225KJTLT3_L3_C1.bam,LA,USA,NAM,1971,1958-1997,1971_TRHS224,1958-1997,1958-1997_South,1971_South,194,29.90552827,-90.35822047,H,S,0.002518477,1.00E-09,0.999999999,0.999999998,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999997,1.00E+00,0.041447551,0.06977769,-0.03441855,-0.021739166,0.027384172,-0.010425442,0.018948419,-0.00112792,-0.015254566,-0.001849636,23219466,0,40.6494,20,27.721,14,63.0112,119,South,8.61E-07,5.13E-06,0,0,0,0,0,29.90218792,19.87273217,-3.672939319,0.595143835,-2.802553999
TRHS176,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS176_CKDL230018651-1A_225KJTLT3_L3_C1.bam,LA,USA,NAM,1972,1958-1997,1972_TRHS176,1958-1997,1958-1997_South,1972_South,195,29.90552827,-90.35822047,H,S,0.001105939,1.00E-09,0.999999999,0.999999998,1.00E-09,1.00E-09,3.34E-08,1.00E-09,1.26E-08,0.999999953,1.00E+00,0.040207925,0.065142286,-0.015493677,-0.01088461,0.014249556,-0.008999603,0.011449269,0.002534031,-0.006395577,1.82E-05,8535665,0,40.89,26,36.7408,30,33.5244,46,South,3.05E-06,5.39E-06,0,0,0,0,0,-104.9927911,24.19715221,-28.8588965,-1.715958904,-0.355726712
TRH4_79,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRH4_79_CKDL230035585-1A_22FCV5LT3_L4_C1.bam,LA,USA,NAM,2001,1998-Present,2001_TRH4_79,1998-Present,1998-Present_South,2001_South,365,29.90552827,-90.35822047,H,S,0.002745481,0.111821797,0.888178203,0.937987866,1.00E-09,0.062012133,1.00E-09,1.00E-09,0.120354474,0.879645524,9.38E-01,0.028206444,0.065819836,-0.001392248,-0.028689979,0.03710072,-0.001504867,0.014581148,-0.003060283,0.001376487,0.003608306,14962462,0,31.3891,12,15.9351,8,71.1383,78,South,8.02E-07,5.21E-06,0,0,0,0,0,15.55647047,17.51123067,4.333406686,-8.799311022,-13.3211993
TRHS355,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS355_CKDL230021747-1A_225YNKLT3_L7_C1.bam,NA,USA,NAM,1949,1918-1957,1949_TRHS355,1918-1957,1918-1957_South,1949_South,66,29.932361,-90.121722,H,S,0.002746884,1.00E-09,0.999999999,0.999999998,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999997,1.00E+00,0.04519348,0.060806708,-0.034172471,-0.011857135,0.013379674,-0.01443817,0.02308584,0.000352155,-0.018027544,-0.014830761,27819903,0,33.4937,34,27.3602,26,36.4939,92,South,1.22E-06,3.31E-06,0,0,0,0,0,10.48180044,42.70010615,-4.524234726,1.005001699,13.8498172
TRHS360,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS360_CKDL230021747-1A_225YNKLT3_L7_C1.bam,NA,USA,NAM,1973,1958-1997,1973_TRHS360,1958-1997,1958-1997_South,1973_South,196,30.003554,-90.441461,H,S,0.002521745,0.113602035,0.886397965,0.939065936,1.00E-09,0.060934063,1.00E-09,1.00E-09,0.11392067,0.886079328,9.39E-01,0.028442071,0.066699391,-0.015358598,-0.025633714,0.050472857,0.011516969,0.014557607,0.001697476,-0.000634685,-0.000308857,17909853,0,89.2363,41,64.7023,36,75.801,80,South,2.29E-06,4.47E-06,1,0,0,0,0,66.29955255,-5.350258387,4.560307785,-6.229515107,-9.258369865
TRHS208,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS208_CKDL230018651-1A_225KJTLT3_L3_C1.bam,LA,USA,NAM,1967,1958-1997,1967_TRHS208,1958-1997,1958-1997_South,1967_South,197,30.0686437,-89.92812792,H,S,0.001058682,1.00E-09,0.999999999,0.999999998,1.20E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999997,1.00E+00,0.041323457,0.059082664,-0.01651995,-0.007100523,0.005130486,-0.009075682,0.012912656,0.002693654,-0.002290307,-0.002825543,7670755,0,26.9994,14,24.6542,15,20.7606,38,South,1.83E-06,4.95E-06,0,0,0.5,0,0,-117.9950597,24.97270403,-31.43911649,-0.382757709,-6.127287022
TRHS192,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS192_CKDL230018651-1A_225KJTLT3_L3_C1.bam,LA,USA,NAM,1976,1958-1997,1976_TRHS192,1958-1997,1958-1997_South,1976_South,199,30.0686437,-89.92812792,H,S,0.003049096,1.00E-09,0.999999999,0.999999998,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999997,1.00E+00,0.042087374,0.068151667,-0.038615487,-0.022499015,0.022590035,-0.019760736,0.007421248,0.002708107,-0.0164407,0.001345921,27502670,0,66.0253,52,44.3175,49,71.6593,120,South,1.89E-06,4.36E-06,0,0,0,0,0,36.21292134,28.23720913,9.447027733,-5.119132415,2.485344969
TRHS184,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS184_CKDL230018651-1A_225KJTLT3_L3_C1.bam,LA,USA,NAM,1975,1958-1997,1975_TRHS184,1958-1997,1958-1997_South,1975_South,198,30.0686437,-89.92812792,H,S,0.003114103,1.00E-09,0.999999999,0.824488478,0.175511521,1.00E-09,0.160401613,1.00E-09,1.00E-09,0.839598385,8.24E-01,0.038837082,0.049696589,-0.03012515,-0.013042978,0.028291339,-0.026964237,0.005012794,0.000737184,-0.015555153,-0.008804281,27275671,0,86.9513,87,81.6597,80,69.914,113,South,3.19E-06,4.14E-06,0,0,0,0,0,42.41693311,23.33451931,10.52748243,-6.326184543,-0.080964367
TRHS168,/work/calicraw/Projects/HerbariumStructure/aligned/processed/herbarium,TRHS168_CKDL230018651-1A_225KJTLT3_L3_C1.bam,LA,USA,NAM,1933,1918-1957,1933_TRHS168,1918-1957,1918-1957_South,1933_South,68,30.0686437,-89.92812792,H,S,0.00198513,1.00E-09,0.999999999,0.999999993,6.27E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999997,1.00E+00,0.042366475,0.060731852,-0.02425302,-0.010486495,0.013745517,-0.017039646,0.018003981,0.001121675,-0.013012052,-0.007771738,15820642,0,33.3734,34,26.819,22,33.0815,39,South,2.15E-06,2.47E-06,0,0,0,0,0,-64.12617585,42.08822646,-16.47973306,2.159222158,4.578205691
