"","Column","P_Range"
"427","Copia.106_SB.I",2.68226782969955e-14
"428","Copia.107_BRa.I",0.000468021935447632
"429","Copia.107_OS.I",5.19757990103148e-10
"430","Copia.107_SB.I",0.000238775263941915
"431","Copia.108_OS.I",6.1810260507713e-05
"432","Copia.108_SB.I",8.67053735671537e-06
"433","Copia.109_BRa.I",5.53484237594396e-32
"434","Copia.109_OS.I",8.71122300723248e-22
"435","Copia.109_SB.I",2.39359784417237e-10
"436","Copia.11_AIp.I",9.86152191875274e-32
"437","Copia.11_AIp.LTR",1.23806341467859e-08
"438","Copia.11_ALY.I",2.32304318794531e-06
"439","Copia.11_BD.I",0.00207067918657184
"440","Copia.11_BRa.I",6.60191841816421e-34
"441","Copia.11_Cia.I",8.51685566973597e-86
"442","Copia.11_Cia.LTR",3.9430542149855e-05
"443","Copia.11_CP.I",8.28366619344365e-38
"444","Copia.11_ECa.I",0.145044939790866
"445","Copia.11_FV.I",2.72869871452162e-07
"446","Copia.11_GM.I",2.81358256326475e-11
"447","Copia.11_GM.LTR",1.28251488455697e-50
"448","Copia.11_GR.I",0.326228564636397
"449","Copia.11_JC.I",1.66074222420707e-20
"450","Copia.11_LSa.I",2.23875244681482e-34
"451","Copia.11_MN.I",9.02480564104734e-23
"452","Copia.11_OS.I",8.173587026362e-28
"453","Copia.11_PAb.I",2.76048334777298e-10
"454","Copia.11_Pru.I",8.78382479038549e-34
"455","Copia.11_RC.I",7.35859681182772e-18
"456","Copia.11_RC.LTR",1.70964674954685e-18
"457","Copia.11_TC.I",1.12055463923896e-12
"458","Copia.112_BRa.I",5.92714520817897e-15
"459","Copia.112_OS.I",1.45787950362992e-07
"460","Copia.113_OS.I",0.398957562834275
"461","Copia.113_OS.LTR",0.431528989522772
"462","Copia.113_SB.I",1.61487521475835e-22
"463","Copia.114_BRa.I",0.000159674153818359
"464","Copia.114_SB.I",8.02228480923594e-11
"465","Copia.115_BRa.I",0.00016565369649577
"466","Copia.116_BRa.I",1.97516248860377e-06
"467","Copia.116_SB.LTR",0.506681126291992
"468","Copia.118_OS.I",1.64662063130204e-20
"469","Copia.118_SB.I",1.09078653927177e-06
"470","Copia.12_AIp.I",1.69361029512719e-05
"471","Copia.12_BRa.I",1.29260775987408e-19
"472","Copia.12_Cia.I",1.95073231997194e-47
"473","Copia.12_Cia.LTR",5.2356097501099e-103
"474","Copia.12_ECa.I",1.34317862879033e-05
"475","Copia.12_GM.I",2.53351947212183e-37
"476","Copia.12_GM.LTR",4.45675179709623e-20
"477","Copia.12_JC.I",1.05510332920969e-69
"478","Copia.12_NN.LTR",0.00143767846185602
"479","Copia.12_OS.LTR",3.20181466045342e-63
"480","Copia.12_PAb.I",1.91324148463182e-11
"481","Copia.12_RC.I",1.61636677321415e-42
"482","Copia.12_ST.I",4.97052388209701e-10
"483","Copia.12_TC.I",4.44477922199662e-11
"484","Copia.120_BRa.I",1.38958281329147e-13
"485","Copia.120B_OS.I",6.92483251658426e-07
"486","Copia.121_BRa.I",0.000378967712411665
"487","Copia.122_BRa.LTR",0.773862099133606
"488","Copia.122_OS.I",6.84301881142084e-19
"489","Copia.122_SB.I",3.94164579765996e-06
"490","Copia.123_BRa.I",0.00859781115291369
"491","Copia.123_OS.I",4.2829808375386e-12
"492","Copia.123_SB.I",1.2552034911053e-06
"493","Copia.124_BRa.I",8.26186670088626e-16
"494","Copia.124_OS.LTR",0.000594275305952641
"495","Copia.125_OS.I",1.53663650447258e-19
"496","Copia.127_BRa.I",2.29996854170927e-07
"497","Copia.127_SB.I",0.409523128349917
"498","Copia.129_BRa.I",2.48260139776733e-21
"499","Copia.13_AIp.I",4.47568888327765e-117
"500","Copia.13_ALY.I",7.51470632430055e-11
"501","Copia.13_BRa.I",0.493513311782695
"502","Copia.13_Cia.LTR",0.158669508430843
"503","Copia.13_CP.I",9.66456506662442e-21
