"","Column","P_Year","Estimate_Year","P_Latitude","Estimate_Latitude","P_Interaction","Estimate_Interaction","FDR_Year","FDR_Latitude","FDR_Interaction"
"58","ATCopia61_I",0.42661016390793,0.00674602621326267,0.611434954688982,0.212589731184012,0.624172930953591,-0.000104276446860351,0.508495180846944,0.714450920686965,0.725830762014407
"59","ATCopia64_I",0.0036944221809325,0.0262153470206113,0.0211037169524236,1.02522967126762,0.0217421765876936,-0.00051887796869972,0.018791268198064,0.131146101653109,0.139930101644707
"60","ATCopia66_I",0.158677017150779,0.0121552045859038,0.388451880014195,0.366570271534295,0.391058997461138,-0.000185419061957907,0.235310662197361,0.518027309332295,0.524002756932568
"61","ATCopia68_I",0.183507101888583,0.0107101594595438,0.228253504727187,0.478483297614402,0.225548492693739,-0.000244786574229871,0.263480914926428,0.36088523134337,0.360717082774687
"62","ATCopia68LTR",0.0502361298072185,0.0151373752381578,0.0940283440034906,0.638181459373412,0.0967228688056872,-0.000321948739348314,0.0967514444501806,0.2069325108531,0.213338910730185
"63","ATCOPIA69A_I",0.422855669405215,0.00483997105860016,0.517840545891496,0.192600676223483,0.535061649160597,-9.39613079014833e-05,0.505168290534847,0.6380588215384,0.65420296715374
"64","ATCopia6I",0.00144101267982453,0.0218695872666849,0.00395179367267322,0.97460955029209,0.00396492995009161,-0.000495517611226621,0.0145173084879815,0.131146101653109,0.139930101644707
"65","ATCopia70_I",0.149226113713561,0.00456720379227734,0.23340565493056,0.186057938196016,0.23719679840907,-9.38671125535199e-05,0.224149827662923,0.366697066725958,0.372901495700068
"66","ATCopia71_I",0.000225693546363037,0.0818905960681884,0.00160989668487718,3.44651103379464,0.00163033762177081,-0.00175086887810241,0.0143190051641272,0.131146101653109,0.139930101644707
"67","ATCopia73_I",0.0350838856270462,0.00864190364222587,0.0824007048125412,0.351030477214492,0.0877303308832502,-0.000175502797191668,0.0743671224867931,0.191849054719779,0.202311374691799
"68","ATCopia74_I",0.0840512271409052,0.0099416261140693,0.115322419719965,0.446835073161965,0.122517745235615,-0.000222862629635908,0.143301121733433,0.23252859503743,0.243487633690977
"69","ATCopia75_I",0.842060043181988,0.00121799116229885,0.967298109268324,-0.0123608347262128,0.970592031139535,5.65332907062773e-06,0.875352945770351,0.978389075587624,0.981300148021216
"70","ATCopia77_I",0.104429387004626,0.0120265645140758,0.255584582299596,0.415013114534533,0.260333184293898,-0.000208982619230178,0.169104303300165,0.389232473753773,0.396848340851115
"71","ATCopia78_I",0.661570652151984,0.00981715682394701,0.888170478805959,0.155539837490958,0.930299233929588,-4.92074973492936e-05,0.721581394229555,0.923958942173775,0.954051984904539
"72","ATCopia78LTR",0.197000698033816,0.00465175472413866,0.270313757160265,0.195998477160825,0.283652467411343,-9.69533891593498e-05,0.278491776058289,0.405273001693436,0.421703518647923
"73","ATCopia79_I",0.47578719268016,0.0038140579907044,0.687339547957028,0.106159109392093,0.697976073580219,-5.20598114281491e-05,0.554987062741971,0.774385055283647,0.783285608349158
"74","ATCopia7I",0.00492400406338838,0.0167486867381039,0.0135575387432433,0.724517356835689,0.013797196599858,-0.000367555198433613,0.0212543612693392,0.131146101653109,0.139930101644707
"75","ATCopia80_I",0.797866032344816,0.00320245370577827,0.806086198413877,-0.151406890027077,0.780820483924511,8.72891102467404e-05,0.838274430020338,0.863049866927018,0.845396254618428
"76","ATCopia82_I",0.0351473161871875,0.0120045514098481,0.0874139915971514,0.47997626569991,0.0905127222972828,-0.000241757284396697,0.0744681296275786,0.197960812544509,0.205685505314786
"77","ATCopia83_I",0.0212695396301424,0.0256923685311213,0.0797958620623455,0.962643008842331,0.0841441158464059,-0.000482673085043961,0.0523775592405204,0.188628385175677,0.197227789787491
"78","ATCopia84_I",0.284506793555006,0.00638192633664167,0.528336343059054,0.185380346864193,0.548678496173539,-8.96783347239037e-05,0.370612700022868,0.646315026196788,0.664397219420402
"79","ATCopia84LTR",0.296631481570932,0.0105645501509453,0.575285384213515,0.279616266395847,0.578187112042867,-0.000141137407209385,0.38223952963113,0.685880856586001,0.690229984260574
"80","ATCopia85_I",0.906005728604437,-0.000943389837085108,0.717243288149137,-0.142729368701008,0.694725431836379,7.86699294736048e-05,0.927727063603524,0.796946368080012,0.781365108683067
"81","ATCopia86LTR",0.270334435448575,0.00961924006115181,0.499605242418122,0.290465938517623,0.4879636898057,-0.000151772443034857,0.355536677748238,0.62266091307807,0.613873019868853
"82","ATCopia87_I",0.753801107581291,0.00161955959714362,0.913030352430077,-0.0278177864418017,0.929249475698163,1.15021419796751e-05,0.801937178146701,0.941971089363591,0.953493401577884
"83","ATCopia88_I",0.025122615910746,0.0133578269078029,0.0583022284934258,0.556578899426368,0.0590130680682932,-0.000282284149390266,0.0587397502059775,0.162670693998777,0.168795257423218
"84","ATCopia89_I",0.166702123460936,0.00807769017166762,0.27827084882699,0.31224783460035,0.281425428176681,-0.000157773500232559,0.24410507963819,0.412792478717266,0.419647974194273
"85","ATCopia8AI",0.112568772496865,0.00807617944150594,0.172912035864355,0.342030791564221,0.181303019865058,-0.000170615921411411,0.179179872444841,0.299187698952345,0.311378861880151
"86","ATCopia90_I",0.247114732870869,0.00698657355930952,0.367648305982712,0.26815999304919,0.384701948089946,-0.000131597859107764,0.331511649171139,0.499745443572987,0.517696246754995
"87","ATCopia92_I",0.119209502577108,0.0149161500943048,0.208562225129008,0.593515842655118,0.222861389257513,-0.000292593229867087,0.187724139944165,0.339721497543232,0.358118599455511
"88","ATCopia94_I",0.314438508402172,0.00759096837907034,0.668348184492798,0.15938354764,0.693283603444706,-7.4627350205712e-05,0.400808248589885,0.760064881135846,0.780586632362832
"89","ATCopia95_I",0.000158692446134267,0.0475179535677805,0.000954623956036485,2.04584101397417,0.00097024287632653,-0.00103908861481162,0.0143190051641272,0.131146101653109,0.139930101644707
"90","ATCopia96_I",0.235990214193451,-0.00670412790863159,0.232241698810124,-0.333354482763486,0.224601344834333,0.000172360753837485,0.319906883781701,0.365659615524397,0.359628853925575
"91","ATCopia97_I",0.400730018830822,0.00437707672657632,0.510579603866271,0.169016376476006,0.505512708696267,-8.69974440164372e-05,0.484686141433128,0.63246205786007,0.628992150986563
"92","ATCopia9LTR",0.253137175942461,0.00554385618047691,0.362809944608475,0.217700557150358,0.367828255053655,-0.000109571386211662,0.337342879450546,0.495595234031751,0.502522926538059
"93","ATDNA1T9A",0.000893519049078503,0.0852807956304571,0.00674962101543065,3.42245075880338,0.00749999497047112,-0.00171790925589565,0.0143190051641272,0.131146101653109,0.139930101644707
"94","ATDNA2T9A",0.770678320938535,-0.00169561382845702,0.648170959520697,-0.130939812363911,0.658533644401456,6.45004940055741e-05,0.815427942084838,0.743568994520644,0.753984072443435
"95","ATDNA2T9B",0.202432226259425,0.00754814328912578,0.262953118722074,0.326909473613707,0.254321635805276,-0.000169316681166639,0.284381274544235,0.397360132472863,0.390880069648372
"96","ATDNAI27T9A",0.0815266932876746,0.0128831910167957,0.121585514963178,0.564577407253193,0.120384614268184,-0.000288083251717882,0.140067429549028,0.239742150770302,0.241244708989039
"97","ATDNAI27T9B",0.161395178072187,0.00808289587118788,0.236528086597202,0.336891985170047,0.227616011979224,-0.000174655867180173,0.238447007012864,0.36975631159175,0.362907945811769
"98","ATDNAI27T9C",0.225168368861956,0.0147799305099472,0.384006854320231,0.523026189351258,0.391841211343705,-0.000261658330956192,0.308381345572839,0.514133432330306,0.524548176694544
"99","ATDNATA1",0.0202710195454207,0.0196981989859032,0.0773833455909324,0.738210898430787,0.082257361046093,-0.000369416685307124,0.0506051715126226,0.185339101505407,0.194690880369627
"100","ATENSAT1",0.0207012539066061,0.0597313175829481,0.0957339214962662,2.11833660233361,0.0967231986582097,-0.00107420469584082,0.0512724050444646,0.208739312775065,0.213338910730185
"101","ATENSPM1",0.249277524083303,0.010972524436877,0.387487839945754,0.405828922146872,0.383850368002445,-0.000207997787987077,0.333512480485088,0.516960808656957,0.517173973977817
"102","ATENSPM10",0.00169406610290287,0.868562127435159,0.0286678594331766,29.7689511113353,0.0306859845626928,-0.0149536483065884,0.0145173084879815,0.134797742136645,0.142361799240998
"103","ATENSPM11",0.110415201514936,0.0229089361233896,0.290629613851421,0.747392662377063,0.308642856493351,-0.0003662062672615,0.176525929386768,0.426103281320839,0.446523119314433
"104","ATENSPM12",0.612615517939498,0.00423558651223402,0.93783195835321,-0.0321770890040732,0.935195545934106,1.70612330493408e-05,0.680611802475391,0.958548549528528,0.957408975929721
"105","ATENSPM1A",0.340243444486045,0.010489530782678,0.389898866578395,0.466424799790478,0.373348805214799,-0.000245630323441426,0.426218695753653,0.519516572788463,0.507494149254391
"106","ATENSPM2",0.0056940869005538,0.134727706821449,0.0524173891188125,4.65110754345038,0.0548407551264508,-0.00234165893020975,0.0227065848138265,0.156076333756556,0.163191011235362
"107","ATENSPM3",0.411053727232822,0.0067995139326804,0.639433910742195,0.191091705179489,0.634687278763245,-9.85716248843184e-05,0.494196424831309,0.736646935496802,0.734438301366467
"108","ATENSPM4",0.130746392845913,0.0159964482524938,0.218145481084018,0.642704116987044,0.219334563823642,-0.000326043504573157,0.201916754265801,0.350063787139075,0.35426060026204
"109","ATENSPM5",0.309816321657293,0.0597317781877853,0.569694728931222,1.64854427446201,0.596181212948801,-0.000781519247196038,0.396200550077657,0.681021852378649,0.705640748581391
"110","ATENSPM6",0.202923076894034,0.0165491256918003,0.307758970109896,0.653659507874469,0.309487251571878,-0.000331272813424089,0.284986002500042,0.443368212287551,0.447084506823838
"111","ATENSPM9",0.00428070325642201,0.0307509110342628,0.0200494757649741,1.23265235103862,0.022421205786851,-0.000615475117610728,0.0199000326158942,0.131146101653109,0.139930101644707
"112","ATGP1.LTR",0.0051158628212873,0.0157860206668277,0.018704703957421,0.653060197865912,0.0191303019553762,-0.000330963001867986,0.0216326893399087,0.131146101653109,0.139930101644707
"113","ATGP11_I",0.216476258219558,-0.0074623769555578,0.120824006184237,-0.462262592126616,0.116167593468319,0.000238113654985604,0.299212095670583,0.238689366758689,0.236366871038471
"114","ATGP11_LTR",0.527907404041962,0.0077792631380799,0.92727518302361,0.0554738570880962,0.934015937738207,-2.55932423610436e-05,0.603185811251916,0.951571042896265,0.956616366787211
"115","ATGP2.I",0.00256677068108764,0.0454530249363544,0.00784968693448517,1.97421509395155,0.00743471099802302,-0.0010110655161962,0.0161842007072721,0.131146101653109,0.139930101644707
"116","ATGP3A_I",0.000356826039700273,0.0481980806225994,0.00274675798009452,1.98966119486236,0.00286847151812651,-0.00100744145306771,0.0143190051641272,0.131146101653109,0.139930101644707
"117","ATGP3B_I",0.00086181739975837,0.0183672884453864,0.00124310673064115,0.87752677324306,0.00124228749861729,-0.000446348133030932,0.0143190051641272,0.131146101653109,0.139930101644707
"118","ATGP3I",0.272034192299263,0.00969878428376026,0.488334757009652,0.301684996758733,0.470997680147051,-0.000159621988047846,0.357523077292223,0.611887182383718,0.598721988968535
"119","ATGP4_I",0.0241407540810791,0.0244640922621121,0.0853480307112507,0.919527073785209,0.0911189639399143,-0.0004592434211998,0.0570946073092723,0.19551034197835,0.206284968650575
"120","ATGP5A_I",0.00482233813218571,0.045553612098403,0.0299957624021549,1.72657568741029,0.0332884950481067,-0.000861247752711537,0.0210927014039392,0.135650529517539,0.143540477276875
"121","ATGP5I",0.865931461626096,-0.000974788371643076,0.607246268051731,-0.146411225953833,0.576763584947983,8.08594587882399e-05,0.895204965755323,0.710788383449937,0.688948554584158
"122","ATGP6I",0.208315433576061,0.00877120875239033,0.439807381655617,0.265479392175786,0.449006585095561,-0.000132324613841701,0.290957291731938,0.567433279858853,0.578960174936768
"123","ATGP6LTR",0.487159554521424,0.00673589035291853,0.790391525528306,0.127069422892999,0.799887166085613,-6.16360229076714e-05,0.565805221499658,0.851753123582793,0.859369616183247
"124","ATGP7I",0.843596666169355,-0.0007588001807737,0.685943235530751,-0.0767179521041296,0.674034426430171,4.05882546311455e-05,0.876564171287158,0.773550561550151,0.76567327769402
"125","ATGP7LTR",0.00527758428483144,0.0167603461155683,0.0147676396702581,0.721724142780139,0.0157387334241109,-0.000363574084008919,0.0219235799658505,0.131146101653109,0.139930101644707
"126","ATGP8I",0.110111348816789,0.0133562344827916,0.265828492771638,0.458464434031025,0.26990183806659,-0.00023120159878474,0.176069968063979,0.400631509383921,0.40729071934621
"127","ATHAT1",0.0158310934966797,0.12282625795147,0.0815322562902199,4.36640354475524,0.0850394858728957,-0.00219560475288715,0.042952951636573,0.190927225802683,0.198390436765759
"128","ATHAT10",0.0395979042429714,0.0201149084558356,0.115885231664635,0.757233302190517,0.119830004149952,-0.00038101282933349,0.0813592986829358,0.233029548718043,0.240654342376893
"129","ATHAT2",0.419772187924599,0.00484135981895321,0.732506050838063,0.101132959816839,0.748649072049145,-4.82207124570909e-05,0.50231106513949,0.808196915705491,0.821781438664017
"130","ATHAT3",0.0679102470332951,0.0153794905451349,0.175091516865853,0.562968817087196,0.177846143193065,-0.000284511802668673,0.121386286176839,0.301750744512834,0.307677739296066
"131","ATHAT8",0.416913748731562,0.00623711451759639,0.540347808817686,0.232005807109442,0.537003559551242,-0.000118977504313412,0.499904582606353,0.655571075505159,0.655388750789265
"132","ATHATN1",0.0154744008856125,0.0848602142610506,0.0298704655965585,3.75222319959669,0.0315439441753718,-0.00188928781217818,0.0423985108735258,0.135574781079713,0.142477569821313
"133","ATHATN10",0.094325268568809,0.00966856904221175,0.17809012148326,0.383651807070264,0.174672467782695,-0.000196681886575878,0.156998097341031,0.304522441975979,0.304291769734416
"134","ATHATN2",0.00455116475791523,0.0153856587413322,0.00939765901728943,0.694175731412347,0.00983661390406839,-0.00035091276924628,0.020485667215051,0.131146101653109,0.139930101644707
"135","ATHATN3A",0.112427806422061,0.00947357599684831,0.224433011959884,0.357395129738465,0.23293424377097,-0.000178479703268367,0.17901586788425,0.356997505879566,0.369027580891941
"136","ATHATN6",0.118133098745526,0.0256811868396098,0.189788254524814,1.06244844666213,0.193990925276677,-0.000535278134072722,0.186246587449311,0.318254403152249,0.324993212618571
"137","ATHILA.3_SBi.I",0.0489911100979618,0.0109535035505399,0.151323226395646,0.393359127090941,0.152955559758972,-0.000199270370795786,0.0951104665188526,0.274942601611643,0.279796032667623
"138","ATHILA.3_SBi.LTR",0.187409540917912,-0.00797500684416011,0.23453190868489,-0.354658736425793,0.247934964946799,0.00017530974977855,0.267740072154407,0.367793102853743,0.384531405542695
"139","ATHILA.6_SBi.LTR",0.00137300559925742,0.0164778167126573,0.00409473100598417,0.728210981938848,0.00414315301518803,-0.000369893171415556,0.0145173084879815,0.131146101653109,0.139930101644707
"140","Athila_LTR",0.551347014880016,0.00340339390814849,0.700850288712095,0.108243714392869,0.721314303092152,-5.11169269303299e-05,0.625801403734064,0.784178031668263,0.802202289686467
"141","Athila2_LTR",0.905931120476577,-0.000693529510484907,0.627003095390055,-0.140694330950065,0.621249993052957,7.27565804815995e-05,0.927727063603524,0.727061697467658,0.723144491851876
"142","Athila3_I",0.0378101994064937,0.0390281487559859,0.106799207332948,1.49331194080848,0.101573362407786,-0.000771105792613068,0.0786969067691057,0.221799277891242,0.218574331888228
"143","Athila4A_I",0.0733093997654617,0.0280789907153604,0.165183635981825,1.07248047558934,0.164400653422994,-0.000546492382979541,0.129050246994814,0.290456099111856,0.29201689267212
"144","Athila4C_I",0.164085693257525,0.0118732395089336,0.218895412407489,0.517346207008391,0.225062925659383,-0.000259635260760068,0.241316803347834,0.350965555804024,0.360184631281606
"145","Athila5_LTR",0.384410227197542,0.00457911550984511,0.52145648876413,0.16644687314476,0.543941396777385,-8.01338583683728e-05,0.469519686143581,0.641065944349452,0.660270427492507
"146","Athila6A_I",0.430477912860151,0.0048180992435935,0.521119740925081,0.193394176008972,0.540854471163395,-9.37463988786439e-05,0.512587488266301,0.640961189481545,0.65835147525497
