TE,mean_UK,fdr_uk,mean_France,fdr_f,mean_Belgium,fdr_b,mean_spain,fdr_spain,mean_slope,fdr_time
ltr.1_family.628,2.166666667,0.345887604,2.333333333,0.026276689,1.894736842,0.996341805,2.652173913,8.67E-08,-0.005023681,0.735828415
ltr.1_family.629,3,0.84941358,3.6,0.148642911,3.140350877,0.956019361,5.130434783,2.93E-10,0.010725731,0.442764532
ltr.1_family.63,47.5,0.228802427,58.53333333,0.050245462,53.78947368,0.864156751,74.17391304,5.51E-15,0.032013139,0.021693158
ltr.1_family.630,10.83333333,0.394665422,11.8,0.300470389,11.92982456,0.485303371,12.56521739,0.00047445,0.010584187,0.464166835
ltr.1_family.631,609.8333333,0.122946824,884.1333333,0.056442141,698.122807,0.587377881,1436.826087,7.23E-15,0.031795855,0.021992779
ltr.1_family.632,23,0.148631756,28.13333333,0.09088555,24.75438596,0.741725909,38.82608696,1.05E-15,0.034435694,0.016224565
ltr.1_family.633,10.66666667,0.849271046,11.66666667,0.035862198,10.94736842,0.98189722,13.52173913,7.62E-13,0.03477206,0.017830798
ltr.1_family.634,6,0.580103572,6.333333333,0.685293462,6.49122807,0.867097633,6.826086957,6.48E-05,-0.003542396,0.823325873
ltr.1_family.635,50.5,0.181592696,57.5,0.226079944,54.9122807,0.903310681,68.56521739,3.00E-19,0.022599296,0.101751803
ltr.1_family.636,16,0.587325242,16.93333333,0.21305359,16.26315789,0.58749008,17.86956522,7.63E-09,0.019392863,0.172872774
ltr.1_family.637,2.833333333,0.55611056,3.6,0.187535523,3.315789474,0.993256013,4.260869565,1.17E-07,0.011853408,0.410086671
ltr.1_family.638,20.16666667,0.314159757,23.43333333,0.032004936,21.89473684,0.961086386,25.04347826,8.30E-08,0.010803001,0.463974186
ltr.1_family.639,22.83333333,0.237713472,28.06666667,0.024550325,25.9122807,0.961715043,30.65217391,3.39E-08,0.028289535,0.047592067
ltr.1_family.64,54.5,0.625415937,62.5,0.082153229,59.78947368,0.651711062,77,1.40E-18,0.031863628,0.028609988
ltr.1_family.641,463.1666667,0.281864596,543.0333333,0.044966189,497.245614,0.95649751,651.6956522,3.77E-14,0.02861235,0.044472556
ltr.1_family.642,12.33333333,0.846649124,12.43333333,0.141358022,12.1754386,0.70437691,12.86956522,6.03E-09,0.003343115,0.827574096
ltr.1_family.643,48.5,0.198552399,54.63333333,0.04384446,51.40350877,0.943869972,62.69565217,5.66E-17,0.030218144,0.030467933
ltr.1_family.644,694.8333333,0.16260979,882.7666667,0.03304019,824.877193,0.675636528,1056.304348,2.66E-15,0.026266845,0.06696267
ltr.1_family.645,4.5,0.569516132,4.9,0.031175276,4.631578947,0.7108875,4.869565217,0.130818836,0.00927787,0.540595281
ltr.1_family.646,357.6666667,0.122946824,495.5666667,0.035137554,437.5438596,0.938155591,726.9130435,6.56E-17,0.031901485,0.027140592
ltr.1_family.647,14.5,0.156880094,17.5,0.325956099,17.71929825,0.490110507,20.08695652,2.86E-07,0.031069808,0.028754999
ltr.1_family.648,27.16666667,0.706405414,29.9,0.095557599,28.26315789,0.992013721,33.52173913,4.68E-12,0.026296707,0.063796329
ltr.1_family.649,172.6666667,0.041552577,239.2666667,0.053648385,210.8947368,0.787114961,322.5652174,6.10E-15,0.026927877,0.060908546
ltr.1_family.65,16.66666667,0.85310172,18.36666667,0.1332307,17.78947368,0.66067853,22.52173913,3.43E-12,0.005681405,0.71084038
ltr.1_family.650,117.3333333,0.25645502,148.3666667,0.021475943,133.3684211,0.826668501,189.2173913,3.01E-14,0.026555533,0.05972943
