Samp,Modified.Reason.,Type,number.of.reads,number.of.mapped.reads,percent_reads_aligned,std_numberofreads,number.of.supplementary.alignments,number.of.secondary.alignments,number.of.duplicated.reads,mean.mapping.quality,GC.percentage,general.error.rate,mean.coverageData,std.coverageData,Country,Year,lat,lon,Herbarium,CatalogNumber,State,K3Q2S1964_LD,K3Q1S1964_LD,K3Q3S1964_LD,MaxK3_LD,PC_LD1,PC_LD2,PC_LD3,PC_LD4,PC_LD5,PC_LD6,PC_LD7,PC_LD8,PC_LD9,PC_LD10,RANGE,TimeBin,PCOASamp,PcoaGroups,PcoaGroupRegion,X,Region,PcoaYR,N_S,SampleN,H_C,Heterozygosity,NREAD,COVERAGE,AC_COVERAGE,AC_COUNT,AC_2_COVERAGE,AC_2_COUNT,LI_COVERAGE,LI_COUNT,stdAC,stdLI,geno_Hb7a1,geno_Hb7a2,geno_Hb7b,geno_Hb9,geno_Hb13
Antwerp_3_1,No,Contemporary,5051126,3997849,0.791476792,-0.434144027,79133,0,555916,35.764,38.29%,0.0145,0.5691,6.3053,Belgium,2018,51.219,4.402,,,NA,0.399967449,0.008668641,0.59136391,0.59136391,-0.020405042,-0.020073057,0.018001335,-0.019136347,0.015183155,0.006402553,0.007028908,-0.015988432,0.01196408,-0.009110569,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_3_10,No,Contemporary,5270896,4382136,0.831383507,-0.39921547,68818,0,548513,34.8447,40.91%,0.0139,0.579,13.9821,Belgium,2018,51.219,4.402,,,NA,0.552460743,0.005417544,0.442121713,0.552460743,-0.007291095,-0.02737323,-0.001202474,-0.01125006,0.017634826,-0.014967435,-0.012694404,-0.010869067,0.01361662,-0.006046877,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_3_12,Yes(LowCoverage),Contemporary,3582732,3007143,0.839343551,-0.667519298,59674,0,268938,34.7015,39.77%,0.0168,0.4019,2.0098,Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_3_13,Yes(LowCoverage),Contemporary,4684798,3843615,0.820444126,-0.492365387,65035,0,346983,33.3906,40.74%,0.0158,0.4983,3.2691,Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_3_14,No,Contemporary,7110544,6242926,0.877981488,-0.106835937,118607,0,660091,35.1081,39.66%,0.0163,0.8221,5.5305,Belgium,2018,51.219,4.402,,,NA,0.510490445,0.02777113,0.461738425,0.510490445,-0.008830342,-0.023934729,0.007740206,-0.022139207,0.025476118,-0.04018119,-0.012500385,-0.016107418,0.040275507,-0.015017404,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_3_15,No,Contemporary,4625162,3887757,0.840566666,-0.501843475,73454,0,341532,34.1653,39.75%,0.0166,0.5107,2.6461,Belgium,2018,51.219,4.402,,,NA,0.497830869,0.004525402,0.497643729,0.497830869,-0.011647401,-0.024706117,0.00253891,-0.009564736,0.020710128,-0.018045837,-0.00682505,-0.012567527,0.020341415,-0.007466092,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_3_5,No,Contemporary,5876446,4868924,0.828549092,-0.302974001,91469,0,474022,34.8935,39.54%,0.0163,0.6432,5.189,Belgium,2018,51.219,4.402,,,NA,0.520148028,0.013973002,0.46587897,0.520148028,-0.009222401,-0.025679156,-0.000241997,-0.01454477,0.022212404,-0.016414265,-0.006371942,-0.008665379,0.021908455,-0.004115844,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_3_6,Yes(LowCoverage),Contemporary,700394,624848,0.892137854,-1.125615976,11107,0,50569,35.0009,40.77%,0.0159,0.0818,0.83,Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_3_9,Yes(LowCoverage),Contemporary,3750442,3146548,0.838980579,-0.640864758,60008,0,460758,36.2142,39.17%,0.013,0.4464,7.512,Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antwerp_36_11,No,Contemporary,5500238,5358608,0.974250205,-0.362765613,76710,0,520039,34.0823,41.26%,0.0157,0.6502,3.4191,Belgium,2018,51.219,4.402,,,NA,0.615264471,0.002586283,0.382149245,0.615264471,-0.002536233,-0.032021046,-0.010821348,-0.014235173,0.032881287,-0.056438878,-0.020914514,0.009296544,0.059707391,0.043598374,EUR,Contemp,Belgium,Belgium,Belgium,Belgium,,Belgium,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
