"","Samp","PC_LD1","PC_LD2","Country","Year"
"621","TRHS134",0.022389193,-0.032729309,"Herbarium",1952
"622","TRHS135",0.03253492,-0.037376388,"Herbarium",1936
"623","TRHS136",0.025484688,0.005505823,"Herbarium",1971
"624","TRHS137",0.037522015,0.047390745,"Herbarium",1964
"625","TRHS138",0.029836574,-0.028760424,"Herbarium",1976
"626","TRHS139",0.029319637,-0.033083897,"Herbarium",1903
"627","TRHS140",0.036257381,0.04770162,"Herbarium",1975
"628","TRHS141",0.013075148,0.063490069,"Herbarium",1999
"629","TRHS142",0.019551242,-0.031005096,"Herbarium",1947
"630","TRHS143",0.020510565,-0.03898196,"Herbarium",1984
"631","TRHS144",0.035842479,0.064130139,"Herbarium",1990
"632","TRHS145",0.04150504,0.061444517,"Herbarium",1939
"633","TRHS146",0.028446727,-0.038177194,"Herbarium",1949
"634","TRHS147",0.039404414,0.064715496,"Herbarium",1950
"635","TRHS148",0.025184959,-0.038635946,"Herbarium",1948
"636","TRHS149",0.021801176,-0.039007943,"Herbarium",1972
"637","TRHS150",0.04210908,0.060139344,"Herbarium",1941
"638","TRHS151",0.027164659,0.001877346,"Herbarium",1991
"639","TRHS152",0.03678944,0.073251797,"Herbarium",1974
"640","TRHS153",0.029041264,-0.03507862,"Herbarium",1934
"641","TRHS154",0.029968597,-0.038473894,"Herbarium",1914
"642","TRHS156",0.035580648,-0.037378541,"Herbarium",1940
"643","TRHS158",0.025237527,-0.04276824,"Herbarium",1939
"644","TRHS159",0.015996161,-0.040767049,"Herbarium",1870
"645","TRHS160",0.043130538,0.06803203,"Herbarium",1957
"646","TRHS161",0.023758586,0.013331501,"Herbarium",1981
"647","TRHS162",0.026254043,-0.007359247,"Herbarium",1985
"648","TRHS163",0.030889246,-0.036500403,"Herbarium",1930
"649","TRHS165",0.010764646,0.039200986,"Herbarium",1964
"650","TRHS166",0.022430021,0.020345075,"Herbarium",1958
"651","TRHS167",0.02442867,-0.027709164,"Herbarium",1957
"652","TRHS168",0.042288213,0.061200124,"Herbarium",1933
"653","TRHS171",0.041377554,0.066004024,"Herbarium",1956
"654","TRHS172",0.025526236,-0.024681468,"Herbarium",1957
"655","TRHS173",0.034151597,0.032463247,"Herbarium",1964
"656","TRHS174",0.030353351,0.011961299,"Herbarium",1973
"657","TRHS175",0.026411165,-0.040946792,"Herbarium",1978
"658","TRHS176",0.040037321,0.065490325,"Herbarium",1972
"659","TRHS177",0.022570078,-0.039112521,"Herbarium",2003
"660","TRHS178",0.012605883,-0.037091561,"Herbarium",2009
"661","TRHS179",0.023204225,-0.038899762,"Herbarium",2002
"662","TRHS180",0.017016539,-0.022553297,"Herbarium",1994
"663","TRHS181",0.021738728,-0.040377155,"Herbarium",1993
"664","TRHS182",0.027809964,-0.007389352,"Herbarium",1980
"665","TRHS183",0.00853101,0.043775831,"Herbarium",1977
"666","TRHS184",0.038706233,0.050153054,"Herbarium",1975
"667","TRHS185",0.029192379,-0.030913051,"Herbarium",1974
"668","TRHS186",0.018024592,-0.036080671,"Herbarium",1906
"669","TRHS187",0.028784936,-0.029105329,"Herbarium",1896
"670","TRHS188",0.021023209,-0.033716899,"Herbarium",1930
"671","TRHS189",0.012455689,-0.033800408,"Herbarium",1984
"672","TRHS190",0.017052783,-0.033007044,"Herbarium",1958
"673","TRHS191",0.027344715,-0.036837981,"Herbarium",1892
"674","TRHS192",0.041837365,0.068282844,"Herbarium",1976
"675","TRHS193",0.035077203,-0.03783404,"Herbarium",1955
"676","TRHS194",0.031793628,-0.036709284,"Herbarium",1961
"677","TRHS195",0.033783414,-0.042429088,"Herbarium",1958
"678","TRHS196",0.033167706,-0.023509332,"Herbarium",1949
"679","TRHS197",0.030923658,-0.040471855,"Herbarium",1906
"680","TRHS198",0.036596909,-0.024852393,"Herbarium",1928
"681","TRHS199",0.033391914,-0.038004545,"Herbarium",1954
"682","TRHS200",0.041105174,0.069687249,"Herbarium",1981
"683","TRHS201",0.035688643,-0.036992268,"Herbarium",1934
"684","TRHS202",0.037133642,-0.025749107,"Herbarium",1960
"685","TRHS203",0.033094164,-0.037482374,"Herbarium",1957
"686","TRHS204",0.017282626,-0.00764242,"Herbarium",1968
"687","TRHS205",0.031153992,-0.042222044,"Herbarium",1946
"688","TRHS206",0.032663351,-0.039087252,"Herbarium",1922
"689","TRHS207",0.039574119,0.059521549,"Herbarium",1982
"690","TRHS208",0.041190789,0.057481321,"Herbarium",1967
"691","TRHS209",0.03126006,-0.005231886,"Herbarium",1990
"692","TRHS210",0.025432264,-0.000740252,"Herbarium",1990
"693","TRHS211",0.034347097,0.060260021,"Herbarium",1982
"694","TRHS212",0.016869118,0.053017872,"Herbarium",1970
"695","TRHS213",0.030303365,-0.041188136,"Herbarium",1946
"696","TRHS214",0.024695232,-0.008066903,"Herbarium",1968
"697","TRHS215",0.039692517,0.059752027,"Herbarium",1961
"698","TRHS216",0.038136008,0.069230636,"Herbarium",1975
"699","TRHS217",0.03229306,-0.032004414,"Herbarium",1973
"700","TRHS219",0.018470469,0.023995441,"Herbarium",1983
"701","TRHS220",0.017586232,0.048791452,"Herbarium",1966
"702","TRHS221",0.024082114,-0.029071724,"Herbarium",1962
"703","TRHS222",0.024509023,-0.026346907,"Herbarium",1971
"704","TRHS223",0.036428671,0.069149425,"Herbarium",1955
"705","TRHS224",0.040751237,0.070487432,"Herbarium",1971
"706","TRHS225",0.024343203,0.043930907,"Herbarium",1963
"707","TRHS226",0.028374249,-0.040724411,"Herbarium",1899
"708","TRHS228",0.026132758,-0.039363085,"Herbarium",1950
"709","TRHS229",0.034075301,-0.039985368,"Herbarium",1939
"710","TRHS231",0.026139257,-0.039376202,"Herbarium",1962
"711","TRHS232",0.038213081,0.072706905,"Herbarium",1987
"712","TRHS233",0.034925456,-0.036740342,"Herbarium",1957
"713","TRHS234",0.015074967,-0.037354924,"Herbarium",1945
"714","TRHS235",0.028540153,-0.040640068,"Herbarium",1952
"715","TRHS236",0.025251673,-0.021442379,"Herbarium",1954
"716","TRHS237",0.030393585,-0.036604858,"Herbarium",1918
"717","TRHS238",0.024914436,-0.039315467,"Herbarium",1959
"718","TRHS239",0.036712992,-0.039587491,"Herbarium",1951
"719","TRHS240",0.035541148,0.069659183,"Herbarium",1987
"720","TRHS241",0.032624373,-0.037473389,"Herbarium",1970
"721","TRHS242",0.013337978,0.026916123,"Herbarium",2018
"722","TRHS243",0.035626263,-0.035786868,"Herbarium",1948
"723","TRHS244",0.038155105,0.061670971,"Herbarium",1967
"724","TRHS245",0.026335733,0.046312191,"Herbarium",2013
"725","TRHS246",0.007699737,0.051131572,"Herbarium",2012
"726","TRHS247",0.043045678,0.064702621,"Herbarium",1936
"727","TRHS248",0.014982555,0.049161502,"Herbarium",1977
"728","TRHS249",0.004497687,0.047615556,"Herbarium",2013
"729","TRHS250",0.025483752,0.062360581,"Herbarium",1987
"730","TRHS251",0.041778357,0.067454824,"Herbarium",1967
"731","TRHS252",0.021763925,0.003031191,"Herbarium",1958
"732","TRHS254",0.011552986,0.021152588,"Herbarium",2001
"733","TRHS255",0.029125177,0.069411703,"Herbarium",2005
"734","TRHS256",0.009832993,0.058373968,"Herbarium",2006
"735","TRHS257",0.036586343,-0.018993138,"Herbarium",1956
"736","TRHS259",0.034419639,-0.038720972,"Herbarium",1974
"737","TRHS260",0.02519474,-0.027897705,"Herbarium",1989
"738","TRHS261",0.020358107,0.048301477,"Herbarium",1988
"739","TRHS262",0.039391941,-0.029103074,"Herbarium",1924
"740","TRHS263",0.02141569,0.003758821,"Herbarium",1992
"741","TRHS264",0.029414147,-0.014539742,"Herbarium",1987
"742","TRHS265",0.033204555,-0.037191474,"Herbarium",1972
"743","TRHS266",0.032195261,-0.039548427,"Herbarium",1968
"744","TRHS267",0.039557136,-0.03172688,"Herbarium",1966
"745","TRHS268",0.03778225,-0.013156153,"Herbarium",1965
"746","TRHS269",0.032913816,-0.038936386,"Herbarium",1974
"747","TRHS270",0.035869614,-0.033881921,"Herbarium",1983
"748","TRHS271",0.033167575,0.002810923,"Herbarium",1986
"749","TRHS272",0.030972737,-0.020609565,"Herbarium",1986
"750","TRHS273",0.032803542,-0.032291837,"Herbarium",1986
"751","TRHS274",0.030988499,-0.04390053,"Herbarium",1989
"752","TRHS275",0.032334312,-0.00689513,"Herbarium",NA
"753","TRHS276",0.024269708,0.014590658,"Herbarium",NA
"754","TRHS277",0.029597352,0.004079332,"Herbarium",1985
"755","TRHS278",0.019912714,0.02729681,"Herbarium",1970
"756","TRHS280",0.038168938,-0.029107425,"Herbarium",1895
"757","TRHS281",0.041786645,-0.029513387,"Herbarium",1885
"758","TRHS283",0.029832586,-0.038208895,"Herbarium",1919
"759","TRHS284",0.038028734,-0.032697628,"Herbarium",1913
"760","TRHS285",0.027018177,-0.034262747,"Herbarium",1965
