"","Samp","K3Q2S1964_LD","K3Q1S1964_LD","K3Q3S1964_LD","Country","Year","TimeBin","SampleN","lat","lon"
"119","Landshut_4_5",0.068247182,0.082935834,0.848816984,"Germany",2018,"Contemp",NA,48.52961,12.16179
"120","Landshut_4_6",0.026560531,0.108351156,0.865088313,"Germany",2018,"Contemp",NA,48.52961,12.16179
"121","Landshut_47_10",0.129641729,0.323369059,0.546989212,"Germany",2018,"Contemp",NA,48.52961,12.16179
"122","Landshut_47_14",0.131301426,0.193885601,0.674812973,"Germany",2018,"Contemp",NA,48.52961,12.16179
"123","Landshut_47_17",0.214459063,0.123119089,0.662421848,"Germany",2018,"Contemp",NA,48.52961,12.16179
"124","Landshut_47_19",0.222727271,0.106376136,0.670896593,"Germany",2018,"Contemp",NA,48.52961,12.16179
"125","Landshut_47_1",0.133722495,0.202398576,0.663878929,"Germany",2018,"Contemp",NA,48.52961,12.16179
"126","Landshut_47_20",0.079639945,0.101768749,0.818591305,"Germany",2018,"Contemp",NA,48.52961,12.16179
"127","Landshut_47_2",0.047624786,0.273181471,0.679193743,"Germany",2018,"Contemp",NA,48.52961,12.16179
"128","Landshut_47_7",0.128395086,0.297370904,0.57423401,"Germany",2018,"Contemp",NA,48.52961,12.16179
"129","Landshut_4_7",0.046951732,0.15488821,0.798160058,"Germany",2018,"Contemp",NA,48.52961,12.16179
"130","Landshut_48_3",0.035559051,2.43e-05,0.964416663,"Germany",2018,"Contemp",NA,48.52961,12.16179
"131","Landshut_48_4",0.088962988,0.073842447,0.837194565,"Germany",2018,"Contemp",NA,48.52961,12.16179
"132","Landshut_48_6",0.197349257,0.089850221,0.712800522,"Germany",2018,"Contemp",NA,48.52961,12.16179
"133","Landshut_48_8",0.111285501,0.034481481,0.854233018,"Germany",2018,"Contemp",NA,48.52961,12.16179
"134","Landshut_48_9",0.059614866,0.063857877,0.876527257,"Germany",2018,"Contemp",NA,48.52961,12.16179
"135","Landshut_49_11",0.073703015,0.043085028,0.883211957,"Germany",2018,"Contemp",NA,48.52961,12.16179
"136","Landshut_49_15",0.105671991,0.093595712,0.800732297,"Germany",2018,"Contemp",NA,48.52961,12.16179
