"","stdAC","stdLI","Year","Region","Samp","lat","lon"
"842",9.09e-07,3.13e-06,1996,"","TRHS381",NA,NA
"843",2.03e-06,1.77e-06,1984,"North","TRHS382",44.3763598,-96.7925213
"844",0,4.75e-07,1983,"North","TRHS383",44.3763598,-96.7925213
"846",8.72e-08,5.23e-07,1891,"North","TRHS386",44.3763598,-96.7925213
"848",0,5.23e-07,1935,"North","TRHS388",42.452095,-76.480323
"849",1.46e-07,1.17e-06,1993,"North","TRHS389",46.808327,-100.783739
"851",0,8.6e-07,1990,"North","TRHS391",43.6435692,-116.7017144
"852",2.26e-07,4.52e-07,1891,"","TRHS392",NA,NA
"853",0,4.3e-07,1975,"North","TRHS393",47.6961,-98.7029
"854",2.11e-06,3.99e-06,1993,"North","TRHS394",46.890257,-96.7984885
"856",2.2e-06,4.09e-06,1978,"North","TRHS396",46.87591,-96.78176
"858",3.23e-06,5.73e-07,1971,"North","TRHS398",46.8269776,-99.7751937
"860",0,4.01e-06,1877,"North","TRHS400",41.6529143,-83.5378173
"862",9.8e-07,2.55e-06,1935,"Middle","TRHS402",39.1099292,-82.0420769
"863",6.66e-07,7.49e-07,1968,"North","TRHS403",40.0289,-83.014
"864",1.24e-06,2.27e-06,1882,"North","TRHS404",40.029,-83.014
"865",2.1e-06,3.96e-06,1970,"North","TRHS405",40.0289,-83.014
"867",1.44e-06,3.01e-06,1879,"North","TRHS407",42.1413879,-80.1104901
"873",1.03e-06,8.23e-07,1883,"North","TRHS413",40.4597205,-79.9760406
"874",1.69e-06,4.94e-07,1889,"North","TRHS414",40.4597204,-79.9760405
"875",1.41e-07,4.22e-07,1884,"North","TRHS415",40.4597209,-79.976041
"876",1.19e-06,5.97e-07,1933,"North","TRHS416",40.4597208,-79.9760409
"877",1.01e-06,6.96e-07,1938,"Middle","TRHS417",39.5261206,-119.8126581
"879",0,4.98e-06,1946,"South","TRHS419",31.025742,-88.7955915
"881",1.04e-06,3.21e-07,1953,"Middle","TRHS421",37.044118,-122.014684
"882",0,2.52e-06,1969,"South","TRHS422",32.6098,-85.4807825
"883",0,7.67e-07,1965,"North","TRHS423",64.04736046,-145.7423638
"884",1.06e-07,2.66e-06,1969,"Middle","TRHS424",35.1470851,-92.3219053
"885",1.66e-06,9.94e-07,1948,"South","TRHS425",32.687171,-94.1872048
"886",7.83e-07,1.34e-06,1960,"South","TRHS426",29.7589382,-95.3676974
"887",0,1.4e-06,1947,"South","TRHS427",30.3490978,-94.1779626
"888",2.53e-07,4.14e-06,1977,"South","TRHS428",29.3735742,-95.5885562
