"","Samp","PC_LD1","PC_LD2","Country","Year","TimeBin","Region","H_C"
"216","Munich_48_18",-0.04224203,-0.009397139,"Germany",2018,"Contemp","","C"
"217","Munich_48_19",-0.023344856,0.007528167,"Germany",2018,"Contemp","","C"
"218","Munich_48_4",-0.041593404,0.00306932,"Germany",2018,"Contemp","","C"
"219","Munich_48_7",-0.009646288,-0.017300285,"Germany",2018,"Contemp","","C"
"220","Munich_48_8",-0.012246632,0.001626856,"Germany",2018,"Contemp","","C"
"221","Munich_49_10",-0.031083896,-0.013364244,"Germany",2018,"Contemp","","C"
"222","Munich_49_12",-0.043697981,-0.003456039,"Germany",2018,"Contemp","","C"
"223","Munich_49_17",-0.047424709,-0.003256632,"Germany",2018,"Contemp","","C"
"224","Munich_49_19",-0.047097954,-0.008318268,"Germany",2018,"Contemp","","C"
"225","Munich_49_1",-0.054596329,-0.004251846,"Germany",2018,"Contemp","","C"
"226","Munich_49_20",-0.036809534,-0.007729136,"Germany",2018,"Contemp","","C"
"227","Munich_49_4",-0.050994667,-0.009326533,"Germany",2018,"Contemp","","C"
"228","Munich_49_8",-0.03732411,-0.006676021,"Germany",2018,"Contemp","","C"
"229","Munich_50_13",-0.032947093,0.00207015,"Germany",2018,"Contemp","","C"
"230","Munich_50_14",-0.037745853,-0.007770412,"Germany",2018,"Contemp","","C"
"231","Munich_50_15",-0.051602052,-0.016847355,"Germany",2018,"Contemp","","C"
"232","Munich_50_16",-0.027002707,0.014915974,"Germany",2018,"Contemp","","C"
"233","Munich_50_17",-0.036075685,0.00093726,"Germany",2018,"Contemp","","C"
"234","Munich_50_1",-0.039856236,-0.00013741,"Germany",2018,"Contemp","","C"
"235","Munich_50_3",-0.051612502,-0.00363815,"Germany",2018,"Contemp","","C"
"236","Munich_50_4",-0.028646707,0.004495661,"Germany",2018,"Contemp","","C"
"237","Munich_50_7",-0.028529344,0.005459743,"Germany",2018,"Contemp","","C"
"238","Munich_5_10",0.002641174,0.040963457,"Germany",2018,"Contemp","","C"
"239","Munich_51_10",-0.038058519,-0.010211368,"Germany",2018,"Contemp","","C"
"240","Munich_51_13",-0.035538299,-0.011176435,"Germany",2018,"Contemp","","C"
"241","Munich_51_15",-0.046601852,0.000364118,"Germany",2018,"Contemp","","C"
"242","Munich_51_16",-0.042407768,-0.009372384,"Germany",2018,"Contemp","","C"
"243","Munich_5_11",-0.01807296,-0.003032779,"Germany",2018,"Contemp","","C"
"244","Munich_5_12",-0.005240043,0.044866818,"Germany",2018,"Contemp","","C"
"245","Munich_5_13",-0.010536731,0.038422514,"Germany",2018,"Contemp","","C"
"246","Munich_5_16",-0.011864276,0.039438851,"Germany",2018,"Contemp","","C"
"247","Munich_51_6",-0.044408819,-0.009381633,"Germany",2018,"Contemp","","C"
"248","Munich_51_8",-0.032742219,-0.001486332,"Germany",2018,"Contemp","","C"
"249","Munich_5_18",-0.012382978,0.047600683,"Germany",2018,"Contemp","","C"
"250","Munich_51_9",-0.04422356,-0.005694376,"Germany",2018,"Contemp","","C"
"251","Munich_5_1",0.003218055,0.039853623,"Germany",2018,"Contemp","","C"
"252","Munster_1_7",-0.020090077,-0.025055518,"Germany",2018,"Contemp","","C"
"253","Munster_2_2",-0.033589848,-0.02556577,"Germany",2018,"Contemp","","C"
"254","Munster_3_6",-0.025025808,-0.023513643,"Germany",2018,"Contemp","","C"
"255","Munster_37_10",-0.033284771,-0.024479886,"Germany",2018,"Contemp","","C"
"256","Munster_39_5",-0.026634156,-0.010154038,"Germany",2018,"Contemp","","C"
"257","Munster_40_6",-0.035167361,-0.020795962,"Germany",2018,"Contemp","","C"
"258","Thessa_1_10",-0.039597552,0.021283326,"Greece",2018,"Contemp","","C"
"259","Thessa_1_11",-0.037222713,0.017660335,"Greece",2018,"Contemp","","C"
"260","Thessa_1_14",-0.037088132,0.014320697,"Greece",2018,"Contemp","","C"
"261","Thessa_1_15",-0.033396703,0.014107999,"Greece",2018,"Contemp","","C"
"262","Thessa_1_16",-0.037782913,0.017159774,"Greece",2018,"Contemp","","C"
"263","Thessa_1_17",-0.039907464,0.013819749,"Greece",2018,"Contemp","","C"
"264","Thessa_1_1",-0.037129755,0.018148027,"Greece",2018,"Contemp","","C"
"265","Thessa_1_2",-0.039807411,0.022526361,"Greece",2018,"Contemp","","C"
"266","Thessa_1_3",-0.038326417,0.01893683,"Greece",2018,"Contemp","","C"
"267","Thessa_1_6",-0.034658814,0.012487743,"Greece",2018,"Contemp","","C"
"268","Thessa_2_14",-0.034144258,0.029789733,"Greece",2018,"Contemp","","C"
"269","Thessa_2_16",-0.028822603,0.03035347,"Greece",2018,"Contemp","","C"
"270","Thessa_2_17",-0.035846803,0.028123351,"Greece",2018,"Contemp","","C"
"271","Thessa_2_19",-0.032193165,0.027497912,"Greece",2018,"Contemp","","C"
"272","Thessa_2_1",-0.03626065,0.029141294,"Greece",2018,"Contemp","","C"
"273","Thessa_2_4",-0.035303881,0.03022631,"Greece",2018,"Contemp","","C"
"274","Thessa_2_6",-0.039052027,0.028755377,"Greece",2018,"Contemp","","C"
"275","Thessa_2_7",-0.038917197,0.026675589,"Greece",2018,"Contemp","","C"
"276","Thessa_2_9",-0.04102945,0.02863751,"Greece",2018,"Contemp","","C"
"277","Thessa_3_12",-0.033817401,0.022282197,"Greece",2018,"Contemp","","C"
"278","Thessa_3_13",-0.032862914,0.017077654,"Greece",2018,"Contemp","","C"
"279","Thessa_3_18",-0.020998644,0.018072071,"Greece",2018,"Contemp","","C"
"280","Thessa_3_19",-0.027600188,0.019634579,"Greece",2018,"Contemp","","C"
"281","Thessa_3_3",-0.028189681,0.017140054,"Greece",2018,"Contemp","","C"
"282","Thessa_3_8",-0.026083244,0.013276121,"Greece",2018,"Contemp","","C"
"283","Thessa_3_9",-0.035796617,0.01649547,"Greece",2018,"Contemp","","C"
"284","Thessa_4_13",-0.038366388,0.021609459,"Greece",2018,"Contemp","","C"
"285","Thessa_4_15",-0.038987524,0.020371881,"Greece",2018,"Contemp","","C"
"286","Thessa_4_17",-0.039546233,0.024203376,"Greece",2018,"Contemp","","C"
"287","Thessa_4_18",-0.046902569,0.018840691,"Greece",2018,"Contemp","","C"
"288","Thessa_4_19",-0.041953008,0.021286502,"Greece",2018,"Contemp","","C"
"289","Thessa_42_10",-0.03845275,0.030715454,"Greece",2018,"Contemp","","C"
"290","Thessa_42_13",-0.036905409,0.033167295,"Greece",2018,"Contemp","","C"
"291","Thessa_42_16",-0.041308665,0.028421131,"Greece",2018,"Contemp","","C"
"292","Thessa_42_17",-0.04616366,0.027774986,"Greece",2018,"Contemp","","C"
"293","Thessa_42_18",-0.039810055,0.026905847,"Greece",2018,"Contemp","","C"
"294","Thessa_42_19",-0.033172704,0.026351499,"Greece",2018,"Contemp","","C"
"295","Thessa_42_20",-0.042245062,0.027013066,"Greece",2018,"Contemp","","C"
"296","Thessa_42_2",-0.040220981,0.030246225,"Greece",2018,"Contemp","","C"
"297","Thessa_42_4",-0.037901925,0.029211095,"Greece",2018,"Contemp","","C"
"298","Thessa_42_8",-0.03774049,0.0304162,"Greece",2018,"Contemp","","C"
"299","Thessa_4_2",-0.039912816,0.020455889,"Greece",2018,"Contemp","","C"
"300","Thessa_43_10",-0.033836699,0.01965877,"Greece",2018,"Contemp","","C"
"301","Thessa_43_13",-0.039063388,0.033273694,"Greece",2018,"Contemp","","C"
"302","Thessa_43_15",-0.035403194,0.037558593,"Greece",2018,"Contemp","","C"
"303","Thessa_43_3",-0.042164789,0.006050388,"Greece",2018,"Contemp","","C"
"304","Thessa_43_4",-0.032400285,0.020327026,"Greece",2018,"Contemp","","C"
"305","Thessa_43_5",-0.043511153,0.027617149,"Greece",2018,"Contemp","","C"
"306","Thessa_43_6",-0.034419382,0.039938596,"Greece",2018,"Contemp","","C"
"307","Thessa_43_8",-0.044678095,0.030817322,"Greece",2018,"Contemp","","C"
"308","Thessa_44_10",-0.039565613,0.026397488,"Greece",2018,"Contemp","","C"
"309","Thessa_44_13",-0.051066842,0.018414862,"Greece",2018,"Contemp","","C"
"310","Thessa_44_14",-0.049488724,0.021912746,"Greece",2018,"Contemp","","C"
"311","Thessa_44_17",-0.0494629,0.020410943,"Greece",2018,"Contemp","","C"
"312","Thessa_44_19",-0.050959568,0.022768047,"Greece",2018,"Contemp","","C"
"313","Thessa_44_1",-0.052186809,0.021637896,"Greece",2018,"Contemp","","C"
"314","Thessa_44_2",-0.054699356,0.020078373,"Greece",2018,"Contemp","","C"
"315","Thessa_44_5",-0.049872826,0.022059202,"Greece",2018,"Contemp","","C"
"316","Thessa_44_7",-0.041441112,0.020130946,"Greece",2018,"Contemp","","C"
"317","Thessa_4_4",-0.037374823,0.025155438,"Greece",2018,"Contemp","","C"
"318","Thessa_45_10",-0.03547485,0.027977349,"Greece",2018,"Contemp","","C"
"319","Thessa_45_13",-0.037181112,0.023383698,"Greece",2018,"Contemp","","C"
"320","Thessa_45_15",-0.034638292,0.026536224,"Greece",2018,"Contemp","","C"
"321","Thessa_45_17",-0.03533951,0.025975998,"Greece",2018,"Contemp","","C"
