"","Year","Spain","UK","France","Poland","Belgium","Germany","Sweden","Greece","Region"
"1937",1937,6.16641821266801e-18,0.556132330912199,2.71387088722214e-05,9.94003603713415e-17,0.44384053026553,1.17714617357858e-14,1.13386332243788e-10,2.03166407115121e-23,"North"
"1938",1938,3.28018022468838e-16,0.354838976477499,9.06582424929964e-05,4.33100426097614e-13,0.645070326976716,1.21994967233399e-11,3.82906587822313e-08,1.14299774250479e-19,"North"
"1939",1939,0.155601399804732,0.422624871466614,0.0112494560825899,1.45715802891345e-12,0.410524200095006,1.77065330365663e-08,3.33334351976626e-08,2.15096329253086e-08,"North"
"1941",1941,0.827007670658111,0.000134176483271136,0.170369151627784,9.77244988491329e-07,0.000148619934003783,0.00161839192102163,4.84506372226416e-06,0.000716167067097311,"North"
"1942",1942,6.73276143810507e-17,0.439427335276814,6.94117065922459e-05,3.7201817868354e-15,0.560503251548051,2.82240568766963e-13,1.46825695544344e-09,1.15473377068448e-21,"North"
"1945",1945,3.37868326784475e-16,0.431037415255415,8.16862940527989e-05,4.08581789737871e-13,0.56888086941168,1.15375316483888e-11,2.90269057828289e-08,1.44442263427874e-19,"North"
"1946",1946,8.03368317992625e-18,0.41989221735502,2.97563146419811e-05,4.12990225156311e-15,0.580078024651744,1.76711141494278e-13,1.67841278431345e-09,3.68499011843888e-22,"North"
"1947",1947,0.214067443576869,0.253323573231939,0.280532821814018,3.18188044812753e-11,0.252075309338981,7.22872188988717e-07,4.78827417494285e-09,1.2434591110153e-07,"North"
"1948",1948,1.97125594574486e-17,0.411981371651419,4.58030960989516e-05,2.92235316581662e-15,0.587972823853661,1.76482545710294e-13,1.39864092670094e-09,4.30181367717908e-22,"North"
"1949",1949,1.10265018495785e-16,0.507146809497481,7.18108971657997e-05,1.24109186025604e-15,0.492781378978699,1.29178853016645e-13,6.2652393149915e-10,6.51840614596639e-22,"North"
"1950",1950,2.97126590188433e-17,0.402907181858903,5.32694347522184e-05,4.44379808760104e-15,0.597039546858473,2.6457768595906e-13,1.84760191115931e-09,7.58614670045035e-22,"North"
"1951",1951,2.32437080135589e-08,0.405024162789682,0.0241335091484436,1.3657698502552e-09,0.570839840502559,2.86493268376413e-07,2.17644816823809e-06,8.40023957591746e-12,"North"
"1952",1952,1.4595058710686e-15,0.455202462036915,0.000152014653436806,6.95664501091957e-14,0.544645515295726,4.76158337325568e-12,8.00908997817606e-09,8.88906152558534e-20,"North"
"1954",1954,2.24775094606262e-13,0.501909676997988,0.000657918422989601,1.57201079561379e-13,0.49743239629854,2.80394240700117e-11,8.25206046326703e-09,5.27994273880268e-18,"North"
"1955",1955,3.98389676979351e-18,0.575759272336331,2.27064693370552e-05,5.20444312560923e-17,0.424218021122809,6.67794392677025e-15,7.15159429022933e-11,9.79170148153474e-24,"North"
"1956",1956,7.64633763441121e-17,0.415128592874816,7.40619319719366e-05,6.27673672871164e-15,0.58479734301608,4.25680975528563e-13,2.17670030692803e-09,1.80375681590871e-21,"North"
"1957",1957,4.45614236933916e-14,0.434446861881312,0.000397050038980471,3.7793365018335e-11,0.565155500218924,9.71999407038435e-10,5.86850946037373e-07,7.93768650989784e-17,"North"
"1958",1958,3.27609806294414e-15,0.431147447036432,0.000164522328439541,6.23988381599517e-13,0.568687996262909,2.74404906098742e-11,3.43441522000808e-08,8.13873889306328e-19,"North"
"1959",1959,1.35694997383435e-09,0.34299634799086,0.00896790534353137,6.41579613544068e-11,0.648035008015556,5.45633562875925e-09,7.31772580671362e-07,2.85317358835781e-14,"North"
"1960",1960,1.75473711859495e-15,0.672492175414289,0.000174552339083703,3.41698200140266e-16,0.327333272096383,1.10749638185078e-13,1.50130784075924e-10,2.17800762040858e-21,"North"
"1961",1961,0.00337406036026026,0.378910580024919,0.311626453760293,3.49601009452388e-07,0.305829621582491,0.000240687470406762,1.55499107412508e-05,2.69728987852988e-06,"North"
"1962",1962,2.42632791527066e-16,0.432665466049157,9.33825702999826e-05,6.37371937537622e-15,0.567241149392476,5.40558274951329e-13,1.98751922130945e-09,4.30520779078989e-21,"North"
"1963",1963,0.751186885268754,0.000735269686949835,0.247815254904755,3.59888390929388e-09,0.000222502877444542,2.92852322317393e-05,8.58112832231721e-08,1.07126196980094e-05,"North"
"1965",1965,9.55758782885212e-15,0.426503990640082,0.000292236924720391,6.34746365026458e-13,0.573203736677932,3.63211558321068e-11,3.57203001343356e-08,1.40466013810863e-18,"North"
"1966",1966,0.462022205156686,0.277814533590908,0.037717065067338,3.19493654172541e-08,0.222229342732433,0.000107640396796348,2.08576431924122e-07,0.000108972530041556,"North"
"1967",1967,2.77043990287313e-17,0.412311186314566,5.05513781659662e-05,7.58337859659263e-15,0.587638259815288,3.62374498376952e-13,2.49160953007306e-09,1.11129905944955e-21,"North"
"1968",1968,0.000240822507209086,0.284964663052853,0.399149966520139,1.49074655368127e-07,0.315549511475279,7.48313668930095e-05,1.99337312462351e-05,1.22271725752441e-07,"North"
